posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1389,44:13:57,24:24:27,Alain BEYNAT PIERRE,NONE,Francia,M,VET-A,utmb,2022
1390,44:14:14,24:24:44,Ivano BOMBOI,CESENA TRIATHLON,Italia,M,VET-A,utmb,2022
1391,44:14:30,24:25:00,Ben CUTTLE,NONE,Reino Unido,M,VET-A,utmb,2022
1392,44:14:59,24:25:29,Wayne TANG,NONE,Singapur,M,VET-A,utmb,2022
1393,44:15:06,24:25:36,Jay HAGAN,COROS,Estados Unidos,M,VET-A,utmb,2022
1394,44:15:10,24:25:40,Aurélien MEUNIER,NONE,Francia,M,SENIOR,utmb,2022
1395,44:15:50,24:26:20,Cyriac PARISOT,NONE,Francia,M,SENIOR,utmb,2022
1396,44:15:51,24:26:21,Tristan PARISOT,NONE,Francia,M,VET-B,utmb,2022
1397,44:16:05,24:26:35,Valentin BALANESCU,NONE,Rumania,M,VET-A,utmb,2022
1398,44:16:17,24:26:47,Fong MAK HOI,NONE,Portugal,M,VET-A,utmb,2022
1399,44:16:48,24:27:18,Sandro FACHINO,GSD VALTANARO,Italia,M,VET-B,utmb,2022
1400,44:16:55,24:27:25,Pedro COSTA,DIVE INTO THE MOUNTAINS,Portugal,M,VET-A,utmb,2022
1401,44:17:05,24:27:35,Thomas GAUTHIER,NONE,Francia,M,SENIOR,utmb,2022
1402,44:17:13,24:27:43,Emanuel COSTA,DIVE INTO THE MOUNTAINS,Portugal,M,VET-A,utmb,2022
1403,44:17:19,24:27:49,Patrick SCHEEL,TREPACERROS,Méjico,M,SENIOR,utmb,2022
1404,44:17:21,24:27:51,Philippe BEYLY,ENDAVANT66,Francia,M,VET-B,utmb,2022
1405,44:18:17,24:28:47,Peter SCHALIN,NONE,Suecia,M,VET-A,utmb,2022
1406,44:18:51,24:29:21,Stefan MANGSTRÖM,NONE,Finlandia,M,VET-A,utmb,2022
1407,44:19:08,24:29:38,Bertrand LACROIX,USSE,Francia,M,VET-A,utmb,2022
1408,44:19:21,24:29:51,Rodrigo SANTOS,ST NEOTS RIVERSIDE RUNNERS,Portugal,M,SENIOR,utmb,2022
1409,44:19:33,24:30:03,Koji UENO,NONE,Japón,M,VET-A,utmb,2022
1410,44:19:33,24:30:03,Marcin FILIPOWICZ,NONE,Polonia,M,VET-B,utmb,2022
1411,44:19:51,24:30:21,Andraz RENKO,VEGAN POWER,Eslovenia,M,SENIOR,utmb,2022
1412,44:20:00,24:30:30,Daniel YAP MIN YI,NONE,Singapur,M,VET-A,utmb,2022
1413,44:20:05,24:30:35,Nicolas LECOMTE,NONE,Francia,M,VET-A,utmb,2022
1414,44:20:37,24:31:07,Andrei SOLODSKY,NONE,Estados Unidos,M,VET-A,utmb,2022
1415,44:20:38,24:31:08,James LAMBERT,NONE,Estados Unidos,M,VET-B,utmb,2022
1416,44:20:40,24:31:10,Denise BOURASSA,INJINJI,Estados Unidos,F,VET-B,utmb,2022
1417,44:20:41,24:31:11,Xavi LLOVERAS,NONE,España,M,VET-C,utmb,2022
1418,44:21:05,24:31:35,Guillaume LECLANCHER,NONE,Francia,M,SENIOR,utmb,2022
1419,44:21:38,24:32:08,Claudio LUCERO,GETFIT,Argentina,M,VET-A,utmb,2022
1420,44:21:59,24:32:29,Tomas SLOVAK,NONE,República Checa,M,VET-B,utmb,2022
1421,44:22:09,24:32:39,Axel GUERENDEL,NONE,Francia,M,SENIOR,utmb,2022
1422,44:23:28,24:33:58,Emmanuel PIFFETEAU,ABV MONTAIGU VENDEE,Francia,M,VET-A,utmb,2022
1423,44:23:38,24:34:08,Luis LORA OSCAR,CLUB ATLETISMO MORATA DE TAJUNA,España,M,VET-A,utmb,2022
1424,44:24:10,24:34:40,Giuseppe MADASCHI,TEAM GAARENBEAHERO,Italia,M,VET-A,utmb,2022
1425,44:24:18,24:34:48,Christian TROUGHTON,CLAPHAM CHASERS,Reino Unido,M,VET-A,utmb,2022
1426,44:24:27,24:34:57,Chris MONTEITH,NONE,Reino Unido,M,VET-A,utmb,2022
1427,44:24:57,24:35:27,Mladenka BUIC,AK SLJEME,Croacia,F,VET-A,utmb,2022
1428,44:25:02,24:35:32,Lisa GETZ,NONE,Estados Unidos,F,SENIOR,utmb,2022
1429,44:25:50,24:36:20,Marcin ŚCIGALSKI,NIEPOŁOMICE BIEGAJĄ,Polonia,M,VET-B,utmb,2022
1430,44:26:20,24:36:50,Payungsak WANNAKIT,EVADICT,Tailandia,M,VET-B,utmb,2022
1431,44:26:54,24:37:24,Yann BERNIER,CLUB DE TRAIL LA COURSE A PIED,Canadá,M,VET-A,utmb,2022
1432,44:27:02,24:37:32,Georgios KOUMPAKIS,ANIMAL RIGHTS RUNNERS,Grecia,M,VET-A,utmb,2022
1433,44:27:19,24:37:49,Stuart CROOK,NONE,Reino Unido,M,VET-A,utmb,2022
1434,44:27:23,24:37:53,Charles DE GROOTE,NONE,Bélgica,M,SENIOR,utmb,2022
1435,44:27:27,24:37:57,Akos REVESZ,NONE,Hungría,M,SENIOR,utmb,2022
1436,44:27:36,24:38:06,Deborah CASTRES,NONE,Francia,F,SENIOR,utmb,2022
1437,44:27:59,24:38:29,Mikko PANULA,HAPPYORNOT,Finlandia,M,VET-A,utmb,2022
1438,44:28:41,24:39:11,Juha LEE,INVICTUS,Corea del Sur,M,VET-B,utmb,2022
1439,44:29:06,24:39:36,Disco MEISCH,NONE,Alemania,F,VET-A,utmb,2022
1440,44:29:07,24:39:37,Matthieu HER,NONE,Francia,M,VET-A,utmb,2022
1441,44:29:09,24:39:39,Ciprian CHIVOIU,NONE,Rumania,M,SENIOR,utmb,2022
1442,44:29:21,24:39:51,Alexis ALI,NONE,Argentina,M,SENIOR,utmb,2022
1443,44:29:42,24:40:12,Stephane SAUVRY,DIJON SINGLETRACK,Francia,M,VET-A,utmb,2022
1444,44:30:45,24:41:15,Laszlo VUTSKITS,NONE,Suiza,M,VET-B,utmb,2022
1445,44:30:46,24:41:16,Fabrice ROUSSEAU,TEAM SAMBA,Francia,M,VET-B,utmb,2022
1446,44:31:13,24:41:43,Gwenael NEVEU,TRAIL VAUCLUSE,Francia,M,VET-A,utmb,2022
1447,44:31:48,24:42:18,Francesc PUJOL MESTRES,CLUB ESQUI TREMP,España,M,VET-A,utmb,2022
1448,44:31:48,24:42:18,Leandre MARTINEZ MARTINEZ,INDEPENDENT,España,M,VET-A,utmb,2022
1449,44:32:07,24:42:37,Filipe NUNO,INDIVIDUAL,Portugal,M,VET-A,utmb,2022
1450,44:32:09,24:42:39,Joaquim CAPELA,KANINOS,Portugal,M,VET-B,utmb,2022
1451,44:32:09,24:42:39,Antonio DUARTE,KANINOS,Portugal,M,VET-A,utmb,2022
1452,44:32:23,24:42:53,Jean HUE,NONE,Francia,M,VET-B,utmb,2022
1453,44:32:39,24:43:09,Ioannis PATSIATZIS,ΛΥΚΟΙ ΚΕΧΑΓΙΟΓΛΟΥ,Grecia,M,VET-B,utmb,2022
1454,44:33:07,24:43:37,Sandro CAVA,NONE,Argentina,M,VET-A,utmb,2022
1455,44:33:07,24:43:37,Jean VIELMONT,TCN,Francia,M,VET-B,utmb,2022
1456,44:33:16,24:43:46,Francois LEPETIT,NONE,Francia,M,VET-A,utmb,2022
1457,44:33:55,24:44:25,Mehdi HABBARI,NONE,Francia,M,SENIOR,utmb,2022
1458,44:34:17,24:44:47,Romain GUIGNARD,SM MONTROUGE,Francia,M,SENIOR,utmb,2022
1459,44:34:46,24:45:16,Eduardo ARCO ALVAREZ,CD ATRACON,España,M,VET-A,utmb,2022
1460,44:35:05,24:45:35,Jarrod VIGRASS,NONE,Reino Unido,M,VET-B,utmb,2022
1461,44:35:09,24:45:39,Kevin WHEAT,BPRUNCO,Estados Unidos,M,SENIOR,utmb,2022
1462,44:35:21,24:45:51,Peter HILLING,NONE,Nueva Zelandia,M,VET-C,utmb,2022
1463,44:35:49,24:46:19,Andrew MESSINA,TWO RIVER RUNNING GROUP,Estados Unidos,M,VET-B,utmb,2022
1464,44:35:54,24:46:24,Matias FERRARO ANDRES,ERRETRAINING,Argentina,M,VET-A,utmb,2022
1465,44:35:55,24:46:25,Yong GAN WEI,FTK,Malasia,M,VET-B,utmb,2022
1466,44:36:06,24:46:36,Andrew BRYAN,NONE,Reino Unido,M,VET-B,utmb,2022
1467,44:36:10,24:46:40,Tyrone LEWIS,NONE,Reino Unido,M,VET-B,utmb,2022
1468,44:36:20,24:46:50,Dominique CLIQUOT,NONE,Francia,M,VET-A,utmb,2022
1469,44:36:21,24:46:51,Hui LEE,NONE,Taiwan,F,VET-A,utmb,2022
1470,44:36:51,24:47:21,Kevin KONCILJA,BOSTON HARES,Estados Unidos,M,SENIOR,utmb,2022
1471,44:37:56,24:48:26,Andrew BENHAM,NONE,Reino Unido,M,VET-B,utmb,2022
1472,44:37:59,24:48:29,Mauro CALLEGARI,PLAYLIFE PONZANO,Italia,M,VET-A,utmb,2022
1473,44:37:59,24:48:29,Mariangela CURINI,PLAYLIFE PONZANO,Italia,F,VET-A,utmb,2022
1474,44:38:03,24:48:33,Damien VIVIER,NONE,Francia,M,VET-B,utmb,2022
1475,44:38:06,24:48:36,Tomoka TAKEUCHI,NONE,Japón,F,VET-B,utmb,2022
1476,44:38:07,24:48:37,Nicolas LAFONTAINE,NONE,Francia,M,VET-A,utmb,2022
1477,44:38:11,24:48:41,Xavier CONANGLA,NONE,España,M,VET-B,utmb,2022
1478,44:38:27,24:48:57,Anders HANSSON,SCANIA ROAD RUNNERS,Suecia,M,VET-A,utmb,2022
1479,44:39:06,24:49:36,Thierry ROUSSELET,NATURE ET JOGGING,Francia,M,VET-B,utmb,2022
1480,44:40:18,24:50:48,Ho SO,NOT-HIKE-ALONE,Hong Kong,M,VET-A,utmb,2022
1481,44:40:22,24:50:52,Dimitrios KAMPOURIDIS,LYKOI KEHAYIOGLOU-DRIFT,Grecia,M,VET-A,utmb,2022
1482,44:40:34,24:51:04,Olivier HENAULT,ALTITUDES TRAIL,Francia,M,VET-B,utmb,2022
1483,44:42:18,24:52:48,Cyril RIEU,LES ZINZINS DES COTEAUX 31,Francia,M,VET-A,utmb,2022
1484,44:42:31,24:53:01,Pierre ARCHIMBAUD,NONE,Francia,M,SENIOR,utmb,2022
